Was besagt die Hardy-Weinberg-Regel?,"Dass sich die Allel- und Genotypfrequenzen in einer diploiden, sich sexuell fortpflanzenden Population von Generation zu Generation nicht verändern, sofern bestimmte Idealbedingungen erfüllt sind: keine Mutation, keine Selektion, keine Migration (Genfluss), unendlich große Population (keine Gendrift) und zufällige Paarung (Panmixie)"
"Wenn ein Gen ``ausgeschaltet'' wird (Null-Allel), ergibt sich dann ein
    neuer Phänotyp","Ein Null-Allel bedeutet, dass ein Gen keine funktionsfähige Genprodukt (meist Protein) mehr erzeugt. Die Folgen hängen davon ab, welche Rolle das Gen spielt."
Werden alle Gene gebraucht,"Nicht alle Gene werden zu jedem Zeitpunkt gebraucht. Viele sind situationsabhängig, manche sind redundant, einige sind funktionslos."
"Warum steigt die Genzahl nicht
    immer proportional mit der
    (Genom) Komplexität?","Durch Alternatives Spleissen, Protein-Modifikationen und die Komplexität der Interaktionen kann drastisch zunehmen bei nur gering erhöhter Anzahl von Genen / Proteinen."
Welche Art von DNA entspricht den Polypeptid-kodierenden Genen?,"Die Reassoziationskinetik zeigt typischerweise, dass mRNA aus nicht-repetitiver DNA transkribiert wird. Daher ist die Menge an nicht-repetitiver DNA ein besserer Indikator für das Kodierungspotenzial als die Größe des Genoms."
Welche Auswirkungen haben Mutationen in den Introns?,"Die Introns sind nicht Teil der reifen mRNA, daher können Mutationen in ihnen die Polypeptidsequenz nicht direkt beeinflussen. Allerdings können sie die Verarbeitung der mRNA beeinflussen, indem sie das Spleißen der Exons hemmen. Eine Mutation dieser Art wirkt sich nur auf das Allel aus, das sie trägt."
"Wie erkennt das System, wo welcher Antikörper herkommt?","Das Immunsystem ""weiß"" nicht, welcher B-Zell-Klon welchen Antikörper produziert hat, sondern erkennt stattdessen spezifisch das Antigen selbst. Bindet ein Antigen an den B-Zell-Rezeptor (membrangebundene Form des jeweiligen Antikörpers) einer B-Zelle, wird genau dieser Klon aktiviert und proliferiert (klonale Selektion). Die Herkunft eines Antikörpers ergibt sich also indirekt daraus, welcher B-Zell-Klon durch das passende Antigen stimuliert wurde."
"Wie schafft es das Immunsystem, gegen jedes Antigen einen
    passenden Antikörper zu produzieren?","Durch somatische Rekombination der Immunglobulin-Gensegmente (V-, D- und J-Segmente) während der B-Zell-Entwicklung entsteht eine riesige Vielfalt unterschiedlicher Antikörper-Gene, noch bevor überhaupt ein Antigenkontakt stattgefunden hat. Zusätzlich erhöhen ungenaue Verknüpfung der Segmente (junctional diversity) und spätere somatische Hypermutation nach Antigenkontakt die Vielfalt weiter. Aus diesem riesigen, zufällig generierten Repertoire wird dann durch klonale Selektion der jeweils passende Antikörper ""ausgewählt""."
"Wo kommen die vielen verschiedenen Antikörper (mit verschiedenen
    Spezifitäten) her?","Die Vielfalt der Antikörper entsteht durch somatische Rekombination: Aus mehreren Varianten von V-, (D-) und J-Gensegmenten wird während der B-Zell-Entwicklung zufällig jeweils ein Segment pro Typ kombiniert (kombinatorische Diversität). Ungenauigkeiten beim Verknüpfen der Segmente (junctional diversity) sowie die freie Kombination von schweren und leichten Ketten erhöhen die Vielfalt zusätzlich. Nach Antigenkontakt sorgt zudem die somatische Hypermutation für eine weitere Feinabstimmung und Affinitätsreifung der Antikörper."
Wie stehen Centromere und Histone in Verbindung,"Histone sind am Centromer nicht nur Verpackungsmaterial, sondern tragen über CENP-A die epigenetische Information, wo das Centromer ist."
Welche Histone gehören zum Core-Oktamer,"Die vier Core-Histone H2A, H2B, H3 und H4 - je zwei Kopien - bilden den Oktamer. Histon H1 gehört nicht dazu."
Wie ist der Histonoktamer aufgebaut?,"Das Histonoktamer besteht aus je zwei Kopien der vier Kernhistone H2A, H2B, H3 und H4. Zunächst bilden H3 und H4 ein Heterodimer, zwei solche Dimere lagern sich zu einem (H3-H4)₂-Tetramer zusammen. An dieses binden beidseitig je ein H2A-H2B-Dimer, sodass das vollständige Oktamer entsteht. Um dieses Oktamer windet sich die DNA (etwa 147 bp) in etwa 1,65 linksgängigen Windungen und bildet so das Nukleosom."
Welche Funktion hat Histon H1 im Nukleosom,H1 ist ein Linker-Histon: Es bindet an der Ein- und Austrittsstelle der DNA am Nukleosom und stabilisiert die Linker-DNA. Es ist kein Bestandteil des Core-Oktamers.
Was passiert mit Nukleosomen bei einem Verdau mit Nukleasen,"Die Linker-DNA zwischen den Nukleosomen wird bevorzugt gespalten, da sie im Vergleich zur nukleosomalen DNA freier zugänglich ist. e nach Verdauintensität entstehen dabei verschiedene Produkte: Milder Verdau erzeugt Di-, Tri- und Oligonukleosomen sowie einzelne Mononukleosomen und vollständiger Verdau lässt ein Core-Nukleosom übrig"
Warum braucht es verschiedene RNA Polymerasen in Eukaryoten,Weil die drei RNA-Polymerasen (Pol I–III) unterschiedliche Klassen von Genen transkribieren.
Wie sind RNA-Polymerasen aufgebaut?,"Sie bestehen jeweils aus mehreren Untereinheiten, von denen einige allen drei Polymerasen gemeinsam, andere aber spezifisch für jede Polymerase sind."
Welche RNA-Polymerasen gibt es in allen Eukaryoten,"Eukaryontische Zellen besitzen drei verschiedene RNA‐Polymerasen, die jeweils unterschiedliche RNAs synthetisieren: rnapoli (Nukleus), rnapolii (Nukleoplasma), rnapolii (Nukleoplasma)"
Welche RNA-Polymerasen gibt es zusätzlich in Pflanzen,rnapoliv und rnapolv
Wo kommen in Zellen RNA-Polymerasen vor?,Im Nukleus (I) und Nukleoplasma (II und III)
Welche RNA‐Polymerasen außer den DNA-abhängigen gibt es noch?,"Neben den DNA-abhängigen RNA-Polymerasen gibt es RNA-abhängige RNA-Polymerasen (RdRP), die RNA anhand einer RNA-Matrize synthetisieren. Sie kommen vor allem bei RNA-Viren vor, sind aber auch an zellulären Prozessen wie RNA-Interferenz und der Aufrechterhaltung von RNA-Silencing beteiligt."
Welche Arten des Informationstransfers gibt es laut dem zentralen Dogma?,DNA zu DNA (replikation); DNA zu RNA (transkription); RNA zu Protein (translation); RNA zu DNA (rev-transkription)
Wie kann man Genomkomplexität messen?,"Genomkomplexität lässt sich unter anderem über die C0t-Analyse messen, bei der die Reassoziationskinetik denaturierter DNA Aufschluss über den Anteil einzigartiger, mittelrepetitiver und hochrepetitiver Sequenzen gibt. Weitere Maße sind die Gesamtgenomgröße (C-Wert), die Anzahl proteincodierender Gene und der Anteil nicht-codierender bzw. repetitiver Sequenzen am Gesamtgenom."
Wie sind Gene mit Introns entstanden?,"Introns-haltige Gene sind vermutlich durch Insertion mobiler genetischer Elemente in ursprünglich durchgehende codierende Sequenzen entstanden. Eine zentrale Hypothese ist die ""Introns-early""-Theorie, nach der Introns bereits sehr früh in der Evolution vorhanden waren und Exons ursprünglich einzelne funktionale Proteindomänen codierten, die später durch Exon-Shuffling neu kombiniert wurden. Die konkurrierende ""Introns-late""-Theorie geht davon aus, dass Introns erst später, unabhängig in verschiedenen Linien, durch Insertion in bereits bestehende, durchgehende Gene entstanden sind."
Wie macht man eine genetische Karte?,"Man kreuzt Organismen mit unterschiedlichen Merkmalen und analysiert die Nachkommen. Aus dem Anteil rekombinierter Nachkommen berechnet man die Rekombinationsfrequenz. Gene, die selten getrennt werden, liegen nahe beieinander; Gene mit hoher Rekombinationsrate liegen weiter auseinander. Durch den Vergleich vieler Genpaare bestimmt man schließlich die Reihenfolge der Gene und ihre relativen Abstände auf dem Chromosom in Centimorgan (cM)."
Wie macht man eine physikalische Gen-Karte?,"Man erstellt eine geordnete (BAC-)Klon-Bank, die auf einer Membran repräsentiert ist. Man sucht daraus Klone aus und stattet die Enden der Klone mit Sonden aus und markiert sie. Dann erstellt man einen Filter (Membran) mit den Klonen und lässt sie sich hybridisieren und findet so überlappende Klone. Basierend auf den Überlappungen erstellt man neue Sonden und wiederholt diesen Prozess mahrmals."
Was ist ein Gen,eine funktionelle DNA-Einheit zur Erzeugung funktioneller RNA-Produkte
